city,city_ibge_code,estimated_population,state
São Luís,2111300,1108975,MA
Açailândia,2100055,113121,MA
Imperatriz,2105302,259337,MA
Paço do Lumiar,2107506,123747,MA
São José de Ribamar,2111201,179028,MA
Timon,2112209,170222,MA
Cajapió,2102408,11216,MA
Santa Inês,2109908,89489,MA
São Benedito do Rio Preto,2110401,18717,MA
Colinas,2103505,41312,MA
Icatu,2105104,27269,MA
Raposa,2109452,31177,MA
Urbano Santos,2112605,33459,MA
Cachoeira Grande,2102374,9478,MA
Cantanhede,2102705,22117,MA
Chapadinha,2103208,80195,MA
Viana,2112803,52649,MA
Vitória do Mearim,2112902,32861,MA
Altamira do Maranhão,2100402,8189,MA
Caxias,2103000,165525,MA
Mirinzal,2106805,15011,MA
Santa Rita,2110203,38298,MA
Zé Doca,2114007,51956,MA
Governador Nunes Freire,2104677,25539,MA
Davinópolis,2103752,12916,MA
Bacabal,2101202,104790,MA
Bacabeira,2101251,17252,MA
Itapecuru Mirim,2105401,68723,MA
Trizidela do Vale,2112233,22112,MA
Barreirinhas,2101707,63217,MA
Miranda do Norte,2106755,28754,MA
Morros,2107100,19572,MA
Tuntum,2112308,42040,MA
Vargem Grande,2112704,57168,MA
Alcântara,2100204,22112,MA
Arari,2101004,29932,MA
Cururupu,2103703,32626,MA
Junco do Maranhão,2105658,4392,MA
Matinha,2106508,23482,MA
Rosário,2109601,42994,MA
Anajatuba,2100709,26988,MA
Balsas,2101400,95929,MA
Milagres do Maranhão,2106672,8483,MA
Vitorino Freire,2113009,31522,MA
Presidente Juscelino,2109205,12838,MA
Pedreiras,2108207,39191,MA
São João dos Patos,2111102,25996,MA
Codó,2103307,123116,MA
Lago da Pedra,2105708,50616,MA
Monção,2106904,33664,MA
Alto Alegre do Pindaré,2100477,31943,MA
Dom Pedro,2103802,23372,MA
Mata Roma,2106409,16977,MA
São Francisco do Brejão,2110856,11941,MA
São João Batista,2111003,20701,MA
Governador Edison Lobão,2104552,18520,MA
Presidente Dutra,2109106,48036,MA
Brejo,2102101,36651,MA
Buriticupu,2102325,72983,MA
Centro Novo do Maranhão,2103174,21840,MA
Estreito,2104057,42527,MA
Olho d'Água das Cunhãs,2107407,19561,MA
Bom Jardim,2102002,41822,MA
Conceição do Lago-Açu,2103554,16400,MA
Magalhães de Almeida,2106300,20029,MA
Alto Alegre do Maranhão,2100436,27858,MA
Amarante do Maranhão,2100600,41729,MA
Coelho Neto,2103406,49621,MA
Olinda Nova do Maranhão,2107456,14836,MA
Peritoró,2108454,23364,MA
Pinheiro,2108603,83777,MA
Senador La Rocque,2111763,14050,MA
São Mateus do Maranhão,2111508,41579,MA
Araguanã,2100873,15551,MA
Governador Newton Bello,2104651,10151,MA
Humberto de Campos,2105005,28932,MA
Lima Campos,2106003,11918,MA
Porto Franco,2109007,24092,MA
Serrano do Maranhão,2111789,10299,MA
São Luís Gonzaga do Maranhão,2111409,18727,MA
Tutóia,2112506,59398,MA
Axixá,2101103,12183,MA
Bela Vista do Maranhão,2101772,11279,MA
Bequimão,2101905,21299,MA
Esperantinópolis,2104008,17104,MA
Guimarães,2104909,11997,MA
Paulino Neves,2108058,16166,MA
Presidente Médici,2109239,7070,MA
Aldeias Altas,2100303,26757,MA
Apicum-Açu,2100832,17413,MA
Bom Lugar,2102077,16438,MA
Duque Bacelar,2103901,11401,MA
Maracaçumé,2106326,21586,MA
Nova Olinda do Maranhão,2107357,21080,MA
Santa Luzia,2110005,72887,MA
Satubinha,2111722,14096,MA
São Vicente Ferrer,2111706,22350,MA
Buritirana,2102358,15467,MA
