cod_ibge,municipio,regiao_planejamento,porte
2100055,Açailândia,24 – REGIÃO DOS CARAJÁS,Grande Porte
2100105,Afonso Cunha,07 – REGIÃO DO ALTO MUNIM,Porte I
2100154,Água Doce Do Maranhão,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte I
2100204,Alcântara,20 – REGIÃO DO PERICUMÃ,Porte II
2100303,Aldeias Altas,32 – REGIÃO DOS TIMBIRAS,Porte II
2100402,Altamira Do Maranhão,17 – REGIÃO DO MEARIM,Porte I
2100436,Alto Alegre Do Maranhão,25 – REGIÃO DOS COCAIS,Porte II
2100477,Alto Alegre Do Pindaré,21 – REGIÃO DO PINDARÉ,Porte II
2100501,Alto Parnaíba,27 – REGIÃO DOS GERAIS DE BALSAS,Porte I
2100550,Amapá Do Maranhão,15 – REGIÃO DO GURUPI,Porte I
2100600,Amarante Do Maranhão,23 – REGIÃO DO TOCANTINS,Porte II
2100709,Anajatuba,10 – REGIÃO DO BAIXO ITAPECURU,Porte II
2100808,Anapurus,07 – REGIÃO DO ALTO MUNIM,Porte I
2100832,Apicum-Açu,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2100873,Araguanã,08 – REGIÃO DO ALTO TURI,Porte I
2100907,Araioses,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2100956,Arame,05 – REGIÃO DAS SERRAS,Porte II
2101004,Arari,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2101103,Axixá,11 – REGIÃO DO BAIXO MUNIM,Porte I
2101202,Bacabal,17 – REGIÃO DO MEARIM,Grande Porte
2101251,Bacabeira,11 – REGIÃO DO BAIXO MUNIM,Porte I
2101301,Bacuri,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2101350,Bacurituba,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2101400,Balsas,27 – REGIÃO DOS GERAIS DE BALSAS,Médio Porte
2101509,Barão De Grajaú,22 – REGIÃO DO SERTÃO MARANHENSE,Porte I
2101608,Barra Do Corda,28 – REGIÃO DOS GUAJAJARAS,Médio Porte
2101707,Barreirinhas,31 – REGIÃO DOS LENÇÓIS MARANHENSES,Médio Porte
2101772,Bela Vista Do Maranhão,21 – REGIÃO DO PINDARÉ,Porte I
2101731,Belágua,07 – REGIÃO DO ALTO MUNIM,Porte I
2101806,Benedito Leite,09 – REGIÃO DO BAIXO BALSAS,Porte I
2101905,Bequimão,20 – REGIÃO DO PERICUMÃ,Porte II
2101939,Bernardo Do Mearim,18 – REGIÃO DO MÉDIO MEARIM,Porte I
2101970,Boa Vista Do Gurupi,12 – REGIÃO DO BAIXO TURI,Porte I
2102002,Bom Jardim,21 – REGIÃO DO PINDARÉ,Porte II
2102036,Bom Jesus Das Selvas,24 – REGIÃO DOS CARAJÁS,Porte II
2102077,Bom Lugar,17 – REGIÃO DO MEARIM,Porte I
2102101,Brejo,13 – REGIÃO DO DELTA DO PARNAÍBA,Porte II
2102150,Brejo De Areia,17 – REGIÃO DO MEARIM,Porte I
2102200,Buriti,07 – REGIÃO DO ALTO MUNIM,Porte II
2102309,Buriti Bravo,06 – REGIÃO DO ALPERCATAS,Porte II
2102325,Buriticupu,24 – REGIÃO DOS CARAJÁS,Médio Porte
2102358,Buritirana,23 – REGIÃO DO TOCANTINS,Porte I
2102374,Cachoeira Grande,11 – REGIÃO DO BAIXO MUNIM,Porte I
2102408,Cajapió,01 – REGIÃO DA BAIXADA MARANHENSE,Porte I
2102507,Cajari,30 – REGIÃO DOS LAGOS,Porte I
2102556,Campestre Do Maranhão,02 – REGIÃO DA CHAPADA DAS MESAS,Porte I
2102606,Cândido Mendes,15 – REGIÃO DO GURUPI,Porte I
2102705,Cantanhede,26 – REGIÃO DOS EIXOS RODOFERROVIÁRIOS,Porte II
2102754,Capinzal Do Norte,14 – REGIÃO DO FLORES,Porte I
2102804,Carolina,02 – REGIÃO DA CHAPADA DAS MESAS,Porte II
2102903,Carutapera,15 – REGIÃO DO GURUPI,Porte II
2103000,Caxias,32 – REGIÃO DOS TIMBIRAS,Grande Porte
2103109,Cedral,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2103125,Central Do Maranhão,16 – REGIÃO DO LITORAL OCIDENTAL,Porte I
2103158,Centro Do Guilherme,12 – REGIÃO DO BAIXO TURI,Porte I
2103174,Centro Novo Do Maranhão,12 – REGIÃO DO BAIXO TURI,Porte I
2103208,Chapadinha,07 – REGIÃO DO ALTO MUNIM,Médio Porte
