FK_municipio,df_ref,FK_instr_gestao,ini_vigencia,fim_vigencia,doc_anexado
0,2021-07-01,0,2021-07-02,2021-10-04,True
0,2021-07-01,1,2021-07-05,2021-10-01,False
0,2021-07-01,2,2021-07-03,2021-09-21,True
0,2021-07-01,3,2021-07-02,2021-10-09,False
0,2021-01-01,0,2021-01-07,2021-04-27,False
0,2021-01-01,1,2021-01-06,2021-04-14,False
0,2021-01-01,2,2021-01-07,2021-03-28,False
0,2021-01-01,3,2021-01-07,2021-04-24,True
0,2021-01-01,4,2021-01-04,2021-04-15,False
1,2021-07-01,0,2021-07-02,2021-10-05,False
1,2021-07-01,1,2021-07-02,2021-10-07,False
1,2021-07-01,2,2021-07-02,2021-10-02,True
1,2021-07-01,3,2021-07-04,2021-10-08,False
1,2021-07-01,4,2021-07-07,2021-10-12,False
1,2021-07-01,5,2021-07-06,2021-09-28,True
1,2021-01-01,0,2021-01-07,2021-04-27,True
1,2021-01-01,1,2021-01-07,2021-04-14,False
1,2021-01-01,2,2021-01-04,2021-04-24,False
1,2021-01-01,3,2021-01-04,2021-04-10,True
1,2021-01-01,4,2021-01-02,2021-03-30,False
1,2020-01-01,0,2020-01-05,2020-03-26,True
1,2020-01-01,1,2020-01-07,2020-04-16,False
1,2020-01-01,2,2020-01-06,2020-04-07,False
1,2020-01-01,3,2020-01-06,2020-03-29,False
1,2020-01-01,4,2020-01-03,2020-03-31,False
2,2021-07-01,0,2021-07-04,2021-10-19,False
2,2021-01-01,0,2021-01-05,2021-03-29,False
2,2021-01-01,1,2021-01-03,2021-04-06,False
2,2021-01-01,2,2021-01-04,2021-04-21,True
2,2021-01-01,3,2021-01-05,2021-04-20,False
2,2021-01-01,4,2021-01-02,2021-03-25,True
2,2020-07-01,0,2020-07-03,2020-10-15,True
2,2020-01-01,0,2020-01-06,2020-04-13,False
2,2020-01-01,1,2020-01-05,2020-04-11,True
2,2020-01-01,2,2020-01-06,2020-04-02,False
2,2020-01-01,3,2020-01-05,2020-04-21,False
3,2021-07-01,0,2021-07-02,2021-09-23,False
3,2021-07-01,1,2021-07-05,2021-10-10,False
3,2021-07-01,2,2021-07-07,2021-10-23,True
3,2021-07-01,3,2021-07-02,2021-10-06,True
3,2021-07-01,4,2021-07-04,2021-09-26,False
3,2021-01-01,0,2021-01-03,2021-03-25,False
3,2021-01-01,1,2021-01-05,2021-03-31,False
3,2020-07-01,0,2020-07-03,2020-10-03,True
3,2020-07-01,1,2020-07-07,2020-09-29,False
3,2020-07-01,2,2020-07-07,2020-10-23,True
3,2020-01-01,0,2020-01-03,2020-04-08,False
3,2020-01-01,1,2020-01-07,2020-04-06,False
3,2020-01-01,2,2020-01-07,2020-04-04,False
3,2020-01-01,3,2020-01-04,2020-03-25,False
3,2020-01-01,4,2020-01-07,2020-03-27,False
4,2021-07-01,0,2021-07-03,2021-09-28,False
4,2021-07-01,1,2021-07-03,2021-09-26,False
4,2021-07-01,2,2021-07-07,2021-10-14,False
4,2021-07-01,3,2021-07-07,2021-10-23,False
4,2021-01-01,0,2021-01-07,2021-04-15,True
4,2020-07-01,0,2020-07-06,2020-10-19,False
4,2020-07-01,1,2020-07-03,2020-10-07,False
4,2020-07-01,2,2020-07-06,2020-10-02,False
4,2020-07-01,3,2020-07-06,2020-10-15,True
