PK_municipio,nome_municipio,pop_municipio,df_ref
0,São Luís,1108975,2021-10-01
0,São Luís,1108975,2021-09-01
0,São Luís,1108975,2021-08-01
0,São Luís,1108975,2021-07-01
0,São Luís,1108975,2021-06-01
0,São Luís,1108975,2021-05-01
0,São Luís,1108975,2021-04-01
0,São Luís,1108975,2021-03-01
0,São Luís,1108975,2021-02-01
0,São Luís,1108975,2021-01-01
0,São Luís,1108975,2020-12-01
0,São Luís,1108975,2020-11-01
0,São Luís,1108975,2020-10-01
0,São Luís,1108975,2020-09-01
0,São Luís,1108975,2020-08-01
0,São Luís,1108975,2020-07-01
0,São Luís,1108975,2020-06-01
0,São Luís,1108975,2020-05-01
0,São Luís,1108975,2020-04-01
0,São Luís,1108975,2020-03-01
0,São Luís,1108975,2020-02-01
0,São Luís,1108975,2020-01-01
0,São Luís,1108975,2019-12-01
0,São Luís,1108975,2019-11-01
1,Açailândia,113121,2021-10-01
1,Açailândia,113121,2021-09-01
1,Açailândia,113121,2021-08-01
1,Açailândia,113121,2021-07-01
1,Açailândia,113121,2021-06-01
1,Açailândia,113121,2021-05-01
1,Açailândia,113121,2021-04-01
1,Açailândia,113121,2021-03-01
1,Açailândia,113121,2021-02-01
1,Açailândia,113121,2021-01-01
1,Açailândia,113121,2020-12-01
1,Açailândia,113121,2020-11-01
1,Açailândia,113121,2020-10-01
1,Açailândia,113121,2020-09-01
1,Açailândia,113121,2020-08-01
1,Açailândia,113121,2020-07-01
1,Açailândia,113121,2020-06-01
1,Açailândia,113121,2020-05-01
1,Açailândia,113121,2020-04-01
1,Açailândia,113121,2020-03-01
1,Açailândia,113121,2020-02-01
1,Açailândia,113121,2020-01-01
1,Açailândia,113121,2019-12-01
1,Açailândia,113121,2019-11-01
2,Imperatriz,259337,2021-10-01
2,Imperatriz,259337,2021-09-01
2,Imperatriz,259337,2021-08-01
2,Imperatriz,259337,2021-07-01
2,Imperatriz,259337,2021-06-01
2,Imperatriz,259337,2021-05-01
2,Imperatriz,259337,2021-04-01
2,Imperatriz,259337,2021-03-01
2,Imperatriz,259337,2021-02-01
2,Imperatriz,259337,2021-01-01
2,Imperatriz,259337,2020-12-01
2,Imperatriz,259337,2020-11-01
2,Imperatriz,259337,2020-10-01
2,Imperatriz,259337,2020-09-01
2,Imperatriz,259337,2020-08-01
2,Imperatriz,259337,2020-07-01
2,Imperatriz,259337,2020-06-01
2,Imperatriz,259337,2020-05-01
2,Imperatriz,259337,2020-04-01
2,Imperatriz,259337,2020-03-01
2,Imperatriz,259337,2020-02-01
2,Imperatriz,259337,2020-01-01
2,Imperatriz,259337,2019-12-01
2,Imperatriz,259337,2019-11-01
3,Paço do Lumiar,123747,2021-10-01
3,Paço do Lumiar,123747,2021-09-01
3,Paço do Lumiar,123747,2021-08-01
3,Paço do Lumiar,123747,2021-07-01
3,Paço do Lumiar,123747,2021-06-01
3,Paço do Lumiar,123747,2021-05-01
3,Paço do Lumiar,123747,2021-04-01
3,Paço do Lumiar,123747,2021-03-01
3,Paço do Lumiar,123747,2021-02-01
3,Paço do Lumiar,123747,2021-01-01
3,Paço do Lumiar,123747,2020-12-01
3,Paço do Lumiar,123747,2020-11-01
3,Paço do Lumiar,123747,2020-10-01
3,Paço do Lumiar,123747,2020-09-01
3,Paço do Lumiar,123747,2020-08-01
3,Paço do Lumiar,123747,2020-07-01
3,Paço do Lumiar,123747,2020-06-01
3,Paço do Lumiar,123747,2020-05-01
3,Paço do Lumiar,123747,2020-04-01
3,Paço do Lumiar,123747,2020-03-01
3,Paço do Lumiar,123747,2020-02-01
3,Paço do Lumiar,123747,2020-01-01
